primary breed,secondary breed,mixed,primary color,secondary color,age,gender,size,coat,spayed_neutered,house_trained,special_needs,shots_current,children,dogs,cats,tags,name,status,status_changed_at,published_at
Mixed Breed,None,False,Apricot / Beige,White / Cream,Adult,Female,Large,Short,True,False,False,True,None,None,None,[],Raina,adoptable,21/07/2020 15:12,21/07/2020 15:12
Pit Bull Terrier,None,True,Merle (Red),White / Cream,Adult,Female,Large,Short,True,True,False,True,None,True,None,"['laidback', 'loving', 'sweet']",Piglet,adopted,24/07/2020 19:26,21/07/2020 13:16
Mixed Breed,None,False,Brindle,None,Adult,Female,Large,Short,True,False,False,True,None,None,None,[],Chloe,adoptable,21/07/2020 15:25,21/07/2020 15:25
Retriever,None,True,Black,None,Baby,Male,Medium,Short,True,False,False,True,None,True,None,[],Madness,adopted,23/07/2020 20:31,21/07/2020 18:13
Labrador Retriever,Redbone Coonhound,True,Black,Red / Chestnut / Orange,Baby,Male,Medium,Short,True,False,False,True,True,True,True,[],Hotch - Sweet Puppy Breath,adopted,25/07/2020 17:54,21/07/2020 18:39
Shepherd,Pit Bull Terrier,True,Black,White / Cream,Baby,Male,Medium,Short,True,False,False,True,None,True,None,[],Arlo,adoptable,21/07/2020 17:59,21/07/2020 17:59
Shepherd,None,True,None,None,Baby,Female,Large,None,False,False,False,True,True,True,None,[],Dora,adopted,21/07/2020 11:05,21/07/2020 11:05
Pit Bull Terrier,American Bulldog,True,Black,None,Adult,Male,Large,Short,True,True,False,True,None,None,None,[],Bernie,adoptable,21/07/2020 20:45,21/07/2020 20:45
Mastiff,Shepherd,True,Bicolor,Black,Adult,Male,Large,Medium,True,False,False,True,None,True,None,"['Playful', 'loving']",Yogi,adoptable,10/08/2020 12:31,21/07/2020 15:08
Schnauzer,None,False,None,None,Adult,Male,Small,None,True,True,False,True,None,None,None,[],Gus,adoptable,19/08/2020 17:00,21/07/2020 19:57
Mixed Breed,None,False,White / Cream,Brindle,Baby,Male,Large,Short,True,False,False,True,True,True,None,[],Buddy,adopted,06/08/2020 01:47,21/07/2020 18:10
Australian Cattle Dog / Blue Heeler,None,True,Tricolor (Brown, & White),Baby,Female,Medium,Short,True,True,False,True,True,True,True,[],Nizhoni,adopted,30/07/2020 17:20,21/07/2020 12:18
Saint Bernard,None,False,None, ,Adult,Male,Large,None,False,False,False,False,None,None,None,[],Moose - Application Pending,adoptable,29/07/2020 16:27,21/07/2020 13:57
Shepherd,None,True,Brown / Chocolate, ,Baby,Female,Small,Short,False,False,False,True,True,True,None,[],Olive,adopted,15/08/2020 16:27,21/07/2020 20:33
Retriever,Setter,True,Tricolor (Brown, & White),Adult,Male,Medium,Short,True,True,False,True,True,True,False,"['playful', 'friendly', 'cuddly']",Buddy,adopted,01/08/2020 10:13,21/07/2020 18:46
Collie,None,True,None, ,Baby,Male,Medium,None,True,False,False,True,True,True,True,[],Quiet Riot,adopted,21/07/2020 17:12,21/07/2020 17:12
Basset Hound,Labrador Retriever,True,Black, ,Baby,Male,Medium,Short,False,False,False,True,None,None,None,[],Rainier,adopted,30/07/2020 14:27,23/07/2020 18:00
Mixed Breed,None,False,None, ,Adult,Female,Medium,Short,True,False,False,True,None,None,None,[],Lenny,adoptable,21/07/2020 15:46,21/07/2020 15:46
Belgian Shepherd / Malinois,None,False,None, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Roscoe,adopted,31/07/2020 13:31,21/07/2020 18:27
Pyrenean Shepherd,None,True,None, ,Baby,Female,Medium,None,True,False,False,True,None,True,None,[],Penelope,adopted,24/07/2020 01:23,21/07/2020 20:59
Labrador Retriever,None,True,Brown / Chocolate, ,Baby,Female,Medium,Short,False,False,False,True,None,True,None,"['loving', 'playful', 'puppy']",Laurel,adopted,31/07/2020 23:43,21/07/2020 16:55
Beagle,Chihuahua,True,Yellow / Tan / Blond / Fawn, ,Adult,Male,Small,Short,True,False,False,True,True,True,None,[],Buddy-PENDING,adopted,29/07/2020 00:20,21/07/2020 18:12
Boxer,Shepherd,True,Yellow / Tan / Blond / Fawn, ,Baby,Male,Large,Short,True,False,False,True,None,None,None,[],Stout,adopted,22/07/2020 17:03,21/07/2020 20:40
Mixed Breed,Labrador Retriever,True,Black, ,Senior,Male,Large,None,True,True,False,True,None,None,None,[],Buddy,adoptable,21/07/2020 12:48,21/07/2020 12:48
Dachshund,Chihuahua,True,Red / Chestnut / Orange, ,Adult,Male,Small,Short,True,True,False,True,None,True,None,[],Rudy,adopted,15/08/2020 17:37,21/07/2020 17:13
Labrador Retriever,Boxer,True,Black, ,Senior,Male,Large,Medium,True,False,False,True,None,None,None,[],17786009 / Jake,adopted,28/07/2020 21:35,21/07/2020 19:20
Golden Retriever,None,True,Golden, ,Senior,Male,Medium,Short,True,False,False,True,True,True,None,[],Jackson,adoptable,21/07/2020 14:49,21/07/2020 14:49
Chow Chow,None,True,Red / Chestnut / Orange, ,Baby,Male,Medium,Short,True,False,False,True,None,None,None,[],BANKSY,adopted,01/08/2020 01:04,21/07/2020 20:33
Pomeranian,None,True,Gray / Blue / Silver, ,Adult,Female,Small,Medium,True,True,False,True,None,True,None,[],SASHA,adopted,26/07/2020 19:51,21/07/2020 20:34
Terrier,Collie,True,None, ,Baby,Female,Medium,Medium,False,False,False,False,None,None,None,[],Dakota~Adopted!!,adoptable,21/07/2020 15:04,21/07/2020 15:04
Hound,Terrier,True,Tricolor (Brown, & White),Adult,Female,Medium,Short,True,False,False,True,None,True,True,[],Reagan,adopted,24/07/2020 15:29,21/07/2020 17:53
Australian Shepherd,Shepherd,True,None, ,Baby,Female,Large,None,True,False,False,True,True,True,True,[],Aussie/Shep Mix F#1,adopted,22/07/2020 16:46,21/07/2020 15:23
Chihuahua,None,True,White / Cream, ,Baby,Female,Small,Short,True,False,False,True,True,True,None,[],Honey,adopted,25/07/2020 19:32,21/07/2020 17:08
Pit Bull Terrier,Black Labrador Retriever,True,Tricolor (Brown, & White),Young,Female,Medium,Short,True,True,False,True,True,True,True,[],Baby,adopted,24/07/2020 20:54,21/07/2020 20:43
Chow Chow,Australian Cattle Dog / Blue Heeler,True,Brown / Chocolate, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,[],Koda,adopted,26/07/2020 23:48,21/07/2020 17:38
Mixed Breed,None,True,Brindle, ,Adult,Male,Medium,Short,True,True,False,True,False,True,True,[],Tank **READ ENTIRE DESCRIPTION**,adoptable,21/07/2020 17:28,21/07/2020 17:28
German Shepherd Dog,Black Mouth Cur,True,None, ,Young,Male,Medium,None,True,True,False,True,True,True,True,[],Huey,adopted,10/08/2020 20:25,21/07/2020 14:50
Shepherd,None,True,Bicolor, ,Adult,Female,Medium,Long,True,False,False,True,None,True,None,[],Annie,adopted,22/07/2020 20:57,21/07/2020 20:52
Beagle,None,False,Black, ,Adult,Male,Medium,Short,False,False,False,True,None,None,None,"['loving', 'Friendly', 'Affectionate']",Willie,adopted,22/07/2020 12:46,21/07/2020 15:35
Shih Tzu,None,False,Black, ,Adult,Male,Small,Short,True,False,False,True,True,None,None,"['Loving', 'Fun', 'Cuddly', 'Adorable']",Herbert,adopted,17/08/2020 06:14,21/07/2020 18:59
Chihuahua,None,False,None, ,Adult,Female,Small,None,False,False,False,False,None,None,None,[],Croissant - Application Pending,adopted,27/07/2020 16:57,22/07/2020 17:36
Treeing Walker Coonhound,Mixed Breed,True,None, ,Young,Female,Medium,Short,True,False,False,True,None,True,None,[],Suzie,adoptable,21/07/2020 17:57,21/07/2020 17:57
Shih Tzu,Poodle,True,None, ,Baby,Female,Small,None,True,False,False,True,None,True,True,[],Poppy,adopted,26/07/2020 00:15,21/07/2020 15:24
Chihuahua,None,False,None, ,Adult,Male,Small,None,True,True,False,True,True,True,None,[],Pooh Bear,adopted,21/07/2020 14:57,21/07/2020 14:57
Pomeranian,None,False,None, ,Adult,Male,Small,None,False,False,False,False,None,None,None,[],Popcorn,adopted,30/07/2020 18:37,22/07/2020 18:36
Labrador Retriever,None,False,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Minnie in NH,adopted,24/07/2020 18:11,21/07/2020 15:09
Pit Bull Terrier,None,True,Black, ,Adult,Female,Medium,Short,True,False,False,True,None,False,False,[],Clover,adoptable,18/08/2020 22:36,21/07/2020 20:55
German Shepherd Dog,None,False,White / Cream, ,Senior,Female,Medium,Long,True,True,False,True,True,False,False,[],Lily,adoptable,21/07/2020 17:41,21/07/2020 17:41
Hound,None,True,Brindle, ,Baby,Female,Medium,Short,False,False,False,True,None,True,None,[],Gavel,adopted,14/08/2020 17:41,21/07/2020 15:54
Siberian Husky,None,True,None, ,Adult,Male,Medium,None,True,True,False,True,None,None,None,[],Dak,adopted,14/08/2020 15:33,21/07/2020 17:38
Shiba Inu,Pomeranian,True,None, ,Adult,Male,Large,None,True,False,False,False,None,None,None,[],LIL BEX,adoptable,21/07/2020 15:51,21/07/2020 15:51
Hound,Cattle Dog,True,None, ,Baby,Female,Medium,None,True,False,False,True,True,True,None,[],April,adopted,21/07/2020 13:20,21/07/2020 13:20
Yorkshire Terrier,Papillon,True,None, ,Senior,Female,Small,None,False,True,False,False,None,True,None,[],Drizzie,adopted,04/08/2020 02:52,21/07/2020 20:15
Shih Tzu,None,True,None, ,Senior,Male,Small,None,True,True,False,True,True,True,None,[],Senji,adopted,21/07/2020 11:05,21/07/2020 11:05
Mixed Breed,None,False,Apricot / Beige, ,Baby,Male,Medium,Short,True,False,False,True,True,True,None,[],Frazier,adopted,29/07/2020 18:09,21/07/2020 18:01
Yorkshire Terrier,None,True,None, ,Adult,Male,Small,None,True,True,False,True,None,None,None,[],Sinjin,adopted,21/07/2020 20:33,21/07/2020 20:33
German Shepherd Dog,None,False,Black, ,Young,Female,Large,Medium,True,False,False,True,None,None,None,"['stunning new girl', 'bio in the editing room', 'fostered']",*Louise von Lemgo,adoptable,21/07/2020 19:35,21/07/2020 19:35
Labrador Retriever,Hound,True,None, ,Senior,Male,Large,None,True,False,False,True,True,True,True,[],Elvis *LOCAL*,adopted,21/07/2020 13:08,21/07/2020 13:08
Redbone Coonhound,Labrador Retriever,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Redbone Hound Mix Puppies-PENDING,adopted,25/07/2020 11:54,21/07/2020 18:21
Collie,Retriever,True,None, ,Young,Male,Medium,None,False,True,False,False,None,True,False,[],Tucker,adopted,27/07/2020 16:23,21/07/2020 15:23
Border Collie,Spaniel,True,None, ,Adult,Female,Medium,Medium,True,True,False,True,True,True,False,[],Lily,adopted,26/07/2020 14:57,21/07/2020 13:57
Terrier,None,True,Apricot / Beige, ,Young,Male,Medium,Short,True,False,False,True,False,True,False,[],Vinny,adoptable,21/07/2020 20:24,21/07/2020 20:24
Terrier,None,True,Apricot / Beige, ,Baby,Female,Medium,Short,True,False,False,True,True,True,None,[],Ivy,adopted,30/07/2020 14:48,21/07/2020 14:57
American Bulldog,English Bulldog,True,None, ,Baby,Male,Medium,None,True,False,False,True,True,True,True,[],Ranger *LOCAL*,adopted,21/07/2020 13:08,21/07/2020 13:08
Border Collie,Labrador Retriever,True,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Dante,adopted,30/07/2020 16:57,21/07/2020 17:21
Pyrenean Shepherd,Labrador Retriever,True,White / Cream, ,Baby,Female,Extra Large,Medium,True,False,False,True,True,True,True,"['loving', 'velcro', 'attentive']",Belle,adopted,27/07/2020 15:28,21/07/2020 14:52
Pit Bull Terrier,None,True,Yellow / Tan / Blond / Fawn, ,Adult,Female,Medium,None,True,False,False,True,None,None,None,[],Luna,adoptable,21/07/2020 19:50,21/07/2020 19:50
Labrador Retriever,None,False,Yellow / Tan / Blond / Fawn, ,Young,Female,Large,Short,False,False,False,False,None,None,None,[],Glory,adopted,27/07/2020 11:38,21/07/2020 12:57
Shih Tzu,None,True,None, ,Senior,Male,Small,None,True,True,False,True,True,True,None,[],Sampson,adopted,21/07/2020 11:05,21/07/2020 11:05
Doberman Pinscher,None,False,Brown / Chocolate, ,Young,Female,Medium,Short,True,True,False,True,True,True,True,[],Izzy,adopted,24/07/2020 22:30,21/07/2020 20:41
Australian Shepherd,None,True,Merle (Red), ,Baby,Male,Medium,Short,True,False,False,True,None,None,None,[],Gueuze,adopted,22/07/2020 12:51,21/07/2020 20:48
Chihuahua,None,False,Yellow / Tan / Blond / Fawn, ,Adult,Female,Small,Short,True,False,False,True,None,True,None,[],Taffy,adopted,27/07/2020 04:08,21/07/2020 20:18
Terrier,None,False,Black, ,Young,Male,Small,None,True,False,False,True,None,None,None,[],Scout,adoptable,21/07/2020 15:20,21/07/2020 15:20
Beagle,Terrier,True,None, ,Young,Female,Medium,None,False,False,False,False,True,True,True,[],Laverne,adopted,21/07/2020 18:56,21/07/2020 18:56
Hound,Cattle Dog,True,None, ,Baby,Female,Medium,None,True,False,False,True,True,True,None,[],Aspen,adopted,21/07/2020 13:20,21/07/2020 13:20
Shih Tzu,None,False,Gray / Blue / Silver, ,Senior,Female,Small,None,True,True,False,True,True,True,True,[],Mollie,adopted,23/07/2020 18:59,21/07/2020 18:02
Rottweiler,Mastiff,True,None, ,Adult,Male,Extra Large,None,True,True,False,True,False,False,False,[],Hooch 125.00 sponsored,adoptable,21/07/2020 10:25,21/07/2020 10:25
Collie,Great Pyrenees,True,None, ,Baby,Female,Large,None,True,True,False,True,False,True,True,[],Bay Ocean *LOCAL*,adoptable,21/07/2020 14:56,21/07/2020 14:56
Cattle Dog,None,True,None, ,Baby,Female,Medium,None,True,False,False,True,True,True,True,[],Cattle Dog Mix F#1,adopted,22/07/2020 16:46,21/07/2020 15:10
Husky,None,True,None, ,Young,Male,Medium,None,False,False,False,False,None,None,None,[],*Starlord* Puppy,adopted,21/07/2020 19:30,21/07/2020 19:30
Labrador Retriever,None,True,White / Cream, ,Adult,Female,Medium,Medium,False,False,False,True,None,None,None,[],Nellie,adopted,29/07/2020 13:00,21/07/2020 17:41
American Staffordshire Terrier,None,True,None, ,Young,Female,Medium,Short,True,True,False,True,None,False,False,['Playful'],Minnie Winnie Wiggles,adoptable,21/07/2020 19:34,21/07/2020 19:34
Terrier,None,True,Bicolor, ,Baby,Female,Medium,Short,False,False,False,False,True,True,True,[],DELANEY,adopted,28/07/2020 17:12,21/07/2020 17:55
Yellow Labrador Retriever,None,True,None, ,Baby,Male,Large,None,True,False,False,True,True,True,True,[],Yellow Lab Mix M#1,adopted,22/07/2020 16:46,21/07/2020 15:19
Mixed Breed,None,True,Black, ,Baby,Female,Medium,Short,False,False,False,True,True,True,True,[],Violet,adopted,25/07/2020 20:06,21/07/2020 20:53
Collie,None,True,Apricot / Beige, ,Young,Female,Medium,Short,False,True,False,True,True,True,None,[],Jason,adopted,22/07/2020 16:28,21/07/2020 17:18
American Staffordshire Terrier,Pit Bull Terrier,True,Gray / Blue / Silver, ,Young,Male,Large,Short,False,True,False,False,True,True,None,[],Guppy,adoptable,21/07/2020 19:35,21/07/2020 19:35
Shepherd,None,False,None, ,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Trooper,adopted,30/07/2020 16:57,21/07/2020 17:21
Australian Cattle Dog / Blue Heeler,None,True,Tricolor (Brown, & White),Baby,Male,Medium,Short,False,False,False,True,True,True,True,[],Woodrow,adopted,10/08/2020 15:35,21/07/2020 20:47
Boxer,None,True,Red / Chestnut / Orange, ,Young,Male,Medium,Short,True,True,False,True,True,True,True,[],"Mac (Great, Calm Family Dog)",adopted,26/07/2020 21:13,21/07/2020 18:25
Mixed Breed,None,True,None, ,Baby,Female,Medium,Medium,False,False,False,False,None,None,None,[],Shiraz,adopted,31/07/2020 17:43,21/07/2020 20:14
Shepherd,None,True,Black, ,Baby,Female,Medium,Medium,True,False,False,True,True,True,None,[],Sunflower,adopted,25/07/2020 19:49,21/07/2020 18:15
Siberian Husky,None,False,None, ,Adult,Female,Medium,None,True,False,False,True,True,True,False,[],Licorice,adoptable,21/07/2020 15:40,21/07/2020 15:40
Great Pyrenees,None,False,None, ,Adult,Female,Large,None,True,True,False,False,True,True,None,[],Jourdan,adoptable,21/07/2020 12:21,21/07/2020 12:21
Redbone Coonhound,Mixed Breed,True,None, ,Young,Female,Medium,None,False,False,False,False,None,None,None,[],Rosie,adoptable,21/07/2020 18:06,21/07/2020 18:06
Chihuahua,None,True,None, ,Young,Male,Medium,None,True,False,False,False,True,True,None,[],Mickey,adopted,25/07/2020 21:56,21/07/2020 20:27
Pyrenean Shepherd,Labrador Retriever,True,White / Cream, ,Baby,Female,Extra Large,Medium,True,False,False,True,True,True,True,"['loving', 'active', 'playful']",Snow White,adopted,04/08/2020 12:40,21/07/2020 14:50
Terrier,None,True,Black, ,Baby,Male,Medium,Short,False,False,False,True,None,True,None,[],Rooster,adopted,11/08/2020 14:53,21/07/2020 15:34
Chihuahua,None,True,Yellow / Tan / Blond / Fawn, ,Adult,Female,Small,None,True,True,False,True,None,None,True,[],Penelope,adopted,15/08/2020 01:31,21/07/2020 20:29
Australian Cattle Dog / Blue Heeler,None,True,None, ,Baby,Female,Medium,Short,False,False,False,True,True,True,None,[],Gianna,adoptable,10/08/2020 20:11,21/07/2020 17:49
Catahoula Leopard Dog,Mastiff,True,Merle (Blue), ,Young,Male,Large,Short,True,True,False,True,None,True,False,[],Atlas,adopted,04/08/2020 14:11,21/07/2020 12:43
Mixed Breed,None,False,Black, ,Young,Female,Large,None,False,False,False,False,None,None,None,[],BD,adoptable,21/07/2020 20:40,21/07/2020 20:40
Shepherd,Black Mouth Cur,True,None, ,Adult,Female,Medium,None,True,False,False,False,None,None,None,[],Lucky,adoptable,21/07/2020 15:12,21/07/2020 15:12
Terrier,Chiweenie,True,Apricot / Beige, ,Baby,Male,Small,Wire,True,False,False,True,True,True,None,[],Axel,adopted,25/07/2020 21:19,21/07/2020 19:17
Australian Cattle Dog / Blue Heeler,Mixed Breed,True,None, ,Young,Female,Medium,None,True,False,False,False,None,None,None,[],DOMINO,adoptable,21/07/2020 17:51,21/07/2020 17:51
Pit Bull Terrier,None,True,Brindle, ,Baby,Male,Small,Short,True,False,False,True,None,None,None,"['loving', 'playful', 'energy']",Dandy,adopted,24/07/2020 21:13,21/07/2020 14:48
Hound,None,True,Tricolor (Brown, & White),Baby,Male,Medium,None,True,False,False,True,True,True,None,[],JACK,adoptable,21/07/2020 14:28,21/07/2020 14:28
Shepherd,None,True,Yellow / Tan / Blond / Fawn, ,Baby,Male,Medium,Medium,True,False,False,True,None,True,None,[],Hachi,adopted,12/08/2020 16:01,21/07/2020 17:50
Labrador Retriever,None,True,Yellow / Tan / Blond / Fawn, ,Adult,Male,Large,Short,True,True,False,True,None,True,None,[],Kingsley,adoptable,21/07/2020 19:49,21/07/2020 19:49
Chihuahua,None,True,White / Cream, ,Young,Male,Small,None,False,True,False,False,True,True,True,[],CHARLIE,adopted,25/07/2020 23:34,21/07/2020 15:44
Husky,Shepherd,True,None, ,Young,Female,Medium,None,True,True,False,True,True,True,None,[],Rockin Robin,adopted,21/07/2020 17:12,21/07/2020 17:12
Terrier,None,True,Gray / Blue / Silver, ,Baby,Female,Small,Short,False,False,False,False,True,True,True,[],MILLIE,adopted,22/07/2020 13:43,21/07/2020 17:39
Cocker Spaniel,None,True,Golden, ,Senior,Female,Medium,None,True,True,False,True,True,True,None,"['Mellow', 'Sweet', 'Senior']",Rusty,adopted,02/08/2020 21:26,21/07/2020 12:33
Hound,None,False,None, ,Adult,Male,Medium,None,True,False,False,False,None,None,None,[],2007-1570 Anderson,adopted,22/07/2020 22:57,21/07/2020 13:41
Australian Cattle Dog / Blue Heeler,None,True,Black, ,Baby,Female,Medium,Short,False,False,False,True,True,True,True,[],Willow,adopted,22/07/2020 17:02,21/07/2020 20:29
Labrador Retriever,Redbone Coonhound,True,Black, ,Baby,Female,Medium,Medium,True,False,False,True,True,True,True,[],Prentiss - Sweet Puppy Breath,adopted,25/07/2020 17:54,21/07/2020 19:12
Husky,Labrador Retriever,True,None, ,Young,Male,Large,None,True,True,False,True,True,True,None,[],Kolbi,adopted,21/07/2020 11:05,21/07/2020 11:05
Rottweiler,Labrador Retriever,True,None, ,Baby,Male,Large,Medium,False,False,False,True,True,True,True,[],Rottweiler/Lab/Pit Pups,adopted,26/07/2020 19:09,21/07/2020 14:11
Shepherd,None,True,Black, ,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Kelsey,adopted,21/07/2020 21:45,21/07/2020 14:33
Husky,None,True,White / Cream, ,Adult,Male,Medium,Long,True,False,False,False,None,None,None,[],Whitecap,adopted,27/07/2020 04:06,21/07/2020 18:43
Pug,Spitz,True,White / Cream, ,Senior,Male,Medium,None,True,True,True,True,False,True,True,[],Donovan,adoptable,21/07/2020 13:45,21/07/2020 13:45
Dachshund,Terrier,True,None, ,Young,Male,Medium,None,False,False,False,True,None,None,None,[],* Franklin - Pending,adoptable,21/07/2020 10:35,21/07/2020 10:35
Husky,None,True,None, ,Young,Male,Medium,None,False,False,False,False,None,None,None,[],Otter,adopted,21/07/2020 20:15,21/07/2020 20:15
Siberian Husky,None,True,Brown / Chocolate, ,Young,Female,Medium,Medium,True,True,False,True,True,True,None,[],Lexie,adopted,23/07/2020 14:11,21/07/2020 18:02
Mixed Breed,None,False,None, ,Adult,Male,Large,None,True,False,False,False,None,None,None,[],Clint,adoptable,21/07/2020 20:06,21/07/2020 20:06
Husky,None,True,None, ,Adult,Male,Large,None,True,True,False,True,True,True,None,[],Zeus the Deuce,adopted,21/07/2020 11:20,21/07/2020 11:20
Husky,Shepherd,True,None, ,Young,Female,Medium,Short,False,False,False,False,True,True,None,[],Nikita,adoptable,21/07/2020 15:21,21/07/2020 15:21
Dachshund,Pit Bull Terrier,True,None, ,Young,Male,Medium,None,False,False,False,False,None,None,None,[],Dash,adopted,21/07/2020 20:32,21/07/2020 20:32
Boxer,Pit Bull Terrier,True,White / Cream, ,Adult,Male,Medium,None,True,False,False,True,None,None,None,['Fence Jumper'],Glacier,adoptable,21/07/2020 15:15,21/07/2020 15:15
Chow Chow,Golden Retriever,True,Golden, ,Adult,Female,Medium,Medium,True,True,True,True,False,True,True,['Friendly'],Goldilocks,adopted,01/08/2020 22:29,21/07/2020 18:50
Mastiff,Staffordshire Bull Terrier,True,Brindle, ,Young,Male,Large,Short,True,False,False,True,False,False,False,[],Brisket,adoptable,22/07/2020 02:09,22/07/2020 02:09
German Shepherd Dog,None,False,Bicolor, ,Adult,Female,Large,Medium,True,True,False,True,True,True,None,[],Sky,adopted,12/08/2020 21:06,21/07/2020 20:18
